Product Name,Description,Shop,Local,Link,Unit Price,Amount,Total Price
SK150C + ZK-BT,The variable power output module + Bluetooth module,Aliexpress,No,https://a.aliexpress.com/_c40TFsyP,"19,19",1,"19,19"
Red banana terminal,4mm banana terminals,Tunisian Smart Innovation,Yes,https://tuni-smart-innovation.com/products/fiche-banane-femelle-securise-4mm?_pos=3&_sid=6d1027561&_ss=r,"0,49",7,"3,43"
Black banana terminal,4mm banana terminals,Tunisian Smart Innovation,Yes,https://tuni-smart-innovation.com/products/fiche-banane-femelle-securise-4mm?_pos=3&_sid=6d1027561&_ss=r,"0,49",7,"3,43"
XT60 Male connector,XT60 male connector with screwing ability,Cothings,Yes,https://cothings.net/products/connecteur-amass-xt60e-m-male,"1,75",1,"1,75"
Fuse holder,5*20mm fuse holder,Souilah SOS,Yes,https://souilah-electronique.tn/accueil/1785-porte-fusible-encastrable-5x20mm-10a-250v.html,"0,63",4,"2,52"
Power button,16mm toggle button with LED,Cothings,Yes,https://cothings.net/products/interrupteur-a-bouton-poussoir-vert16mm-12-24v,"3,43",1,"3,43"
"1,5mm² wire (1m)","1,5mm² thick electrical wire",Hardware Store,Yes,N/A,"0,53",3,"1,59"
"FDD1,25-187 Terminal",Cold pressure terminal,Tunisian Smart Innovation,Yes,https://tuni-smart-innovation.com/products/kit-280pcs-connecteur-de-fil-de-pelle-a-sertir-2-8mm-4-8mmmm-6-3mm-terminaux-isoles-male-femelle?_pos=1&_sid=e48c5ffd7&_ss=r,"0,03",8,"0,24"
"FDD1,25-110 Terminal",Cold pressure terminal,Tunisian Smart Innovation,Yes,https://tuni-smart-innovation.com/products/kit-280pcs-connecteur-de-fil-de-pelle-a-sertir-2-8mm-4-8mmmm-6-3mm-terminaux-isoles-male-femelle?_pos=1&_sid=e48c5ffd7&_ss=r,"0,03",4,"0,12"
"RV1,25-4 Terminal",Cold pressure terminal,Tunisian Smart Innovation,Yes,https://tuni-smart-innovation.com/products/kit-280pcs-connecteur-de-fil-de-pelle-a-sertir-2-8mm-4-8mmmm-6-3mm-terminaux-isoles-male-femelle?_pos=1&_sid=e48c5ffd7&_ss=r,"0,03",14,"0,42"
"1,5mm² Ferrule Terminal",Ferrules connector,Brico Direct,Yes,https://brico-direct.tn/autres-accessoires-autos/13304-coffret-de-685-cosses-a-sertir-viroles-yato-5906083068492.html,"0,01",2,"0,02"
"2,5mm² Ferrume Terminal",Ferrules connector,Brico Direct,Yes,https://brico-direct.tn/autres-accessoires-autos/13304-coffret-de-685-cosses-a-sertir-viroles-yato-5906083068492.html,"0,01",2,"0,02"
Screw Terminal Blocks,Connectors used to connect 2 wires together,Hardware Store,Yes,N/A,"0,17",6,"1,02"
10A Fuse,"10A Glass, 5*20mm, fast blow fuse",Seli,Yes,https://seli.tn/product/fusible-en-verre-f3-f5-et-f6/,"0,09",4,"0,36"
8Ohm Load Resistor,8Ohm 50W resistor,Seli,Yes,https://seli.tn/product/resistance-bobinee-boitier-en-aluminium-50w-8ohm/,4,1,4
Laser-cut parts,The enclosure,FabLab,Yes,N/A,"6,12",1,"6,12"
,,,,,,GRAND TOTAL,"47,66"
